날짜,카테고리,출처,제목,요약,링크
2026-08-18,policy,정책브리핑 검색('교육'),치유농업 서비스 품질 높인다…인증·실태조사 개선 논의농촌진흥청  (  청장 이승돈  )  은  8  월  1…,치유농업 서비스 인증 및 품질 개선 논의,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774601&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),"""여름 배추 수급 지킨다""… 농촌진흥청, 고랭지 병해충 막바지 방제 철저 당부... 배추의 주요 생산지인 만…",고랭지 배추 병해충 막바지 방제 당부,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774585&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),"축산 현장 실용서, 시각장애인도 음성으로 쉽게 이용... .  사양 관리  ,  사료 배합  ,  질병 관리…","축산 실용서, 시각장애인용 음성 서비스 제공",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774577&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),"아시아 6개국 축산 연구자, 한국서 젖소 개량 기술 익힌다... 키르기스스탄  ,  타지키스탄  ,  파키스…","아시아 6개국 연구자, 한국서 젖소 개량 기술 연수",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774573&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-18,policy,정책브리핑 검색('교육'),"물고기의 생명 길, 아름다운 어도(魚道)를 사진·영상에 담아주세요... 생성형 AI 활용도 가능하게 하여 참…","어도 사진·영상 공모전 개최, AI 활용 가능",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156774553&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-18&endDate=2026-08-18&srchWord=교육&period=
2026-08-20,education,한국교육과정평가원(KICE) 보도자료,"[동정자료] 한국교육과정평가원, 2026년 제3회 KICE 콜로키움 개최","KICE, 2026년 제3회 콜로키움 개최 예정",https://www.kice.re.kr#contents
2026-08-20,education,전교조 보도자료,"[공동취재요청서] 밀실,일방,졸속 지방교육재정교부금 개편 규탄 기자회견",지방교육재정교부금 졸속 개편 규탄 기자회견,https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245417&menu_id=2010
2026-08-20,education,전교조 보도자료,[보도자료] 전남 유치원 현장체험학습 안전사고 관련 기자회견,전남 유치원 현장체험학습 안전사고 기자회견,https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245411&menu_id=2010
2026-08-20,policy,한국교육신문(정책) - 헤드라인,학교 200m 내 학습권 침해 집회·시위 법으로 금지학교 주변에서 학생의 학습권을 뚜렷이 침해할 우려가 있는…,학교 200m 내 집회·시위 법으로 금지 추진,https://www.hangyo.com/news/article.html?no=108921
2026-08-20,policy,한국교육신문(정책) - 헤드라인,올해 제2차 학교복합시설 공모사업 9개 선정교육부는 전국 지방자치단체와 교육청을 대상으로 한 ‘2026년 제…,학교복합시설 공모사업 9개 선정 발표,https://www.hangyo.com/news/article.html?no=108918
2026-08-20,education,교과서민원바로처리센터 뉴스,"2026년 제2차 학교복합시설 공모사업 심사 결과, 총 9개 사업 선정 / 교육부",2026년 학교복합시설 공모 9개 사업 선정,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=294&boardSeq=106967&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020402&opType=N
2026-08-20,education,교과서민원바로처리센터 뉴스,"초등 사회교과서 아프리카 왜곡 줄었다…""발전 가능성 부각""(종합) / 연합뉴스",초등 사회교과서 아프리카 왜곡 표현 감소,https://www.yna.co.kr/view/AKR20260819147551898
2026-08-20,education,교과서민원바로처리센터 뉴스,"제주교육청, 초등생 자살시도 사안 지원단 운영…감사 실시 / 연합뉴스","제주교육청, 초등생 자살시도 사안 지원 및 감사",https://www.yna.co.kr/view/AKR20260820123200056
2026-08-20,education,교과서민원바로처리센터 뉴스,"세종시교육청·행복청, '체험·탐구형 과학관' 건립 추진 / 연합뉴스","세종시, 체험·탐구형 과학관 건립 추진",https://www.yna.co.kr/view/AKR20260820090700063
2026-08-20,education,교과서민원바로처리센터 뉴스,"전남광주시, 학교 밖 청소년 입시설명회 26~29일 개최 / 연합뉴스","광주전남, 학교 밖 청소년 입시설명회 개최",https://www.yna.co.kr/view/AKR20260820113500054
2026-08-20,education,교과서민원바로처리센터 뉴스,"수업보듬이 만족도 97%…경북교육청, 2학기 지원 확대 / 경북도민일보","수업보듬이 만족도 97%, 경북교육청 확대 운영",https://www.hidomin.com/news/articleView.html?idxno=717885
2026-08-20,education,교과서민원바로처리센터 뉴스,"대전교육청, ‘교육활동 침해 전담조사관’ 시범운영 / 충청뉴스","대전교육청, 교육활동 침해 전담조사관 시범운영",https://www.ccnnews.co.kr/news/articleView.html?idxno=413672
2026-08-20,education,교과서민원바로처리센터 뉴스,"서울교육청, 원스톱 학생맞춤통합지원 상반기 528명 / 서울일보","서울교육청, 상반기 학생맞춤통합지원 528명 대상",https://www.seoulilbo.com/news/articleView.html?idxno=846415
2026-08-21,education,KEDI 보도자료,[보도] KEDI 창립 54주년 기념식 및 기념포럼 개최,KEDI 창립 54주년 기념식·포럼 개최,http://www.kedi.re.kr/khome/main/announce/selectBroadAnnounceForm.do?selectTp=0&article_sq_no=36457&board_sq_no=3&currentPage=0&doc_use_yn=N
2026-08-21,education,전교조 보도자료,[성명서] 지방교육재정교부금 내국세 20.79% 연동제 폐지안 규탄,"전교조, 교육재정교부금 연동제 폐지안 규탄",https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245420&menu_id=2010
2026-08-21,education,전교조 보도자료,[공동보도자료] 지방교육재정교부금 개편 규탄 기자회견,교육재정교부금 개편 반대 공동 기자회견,https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245419&menu_id=2010
2026-08-21,education,정책브리핑 검색('교육'),"함양국유림관리소, 공습 대비 민방위 훈련 실시... 따라 단계별 대응절차를 점검하였다.  또한 비상상황 발생…","국유림관리소, 민방위 공습 대비 훈련 실시",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775091&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=교육&period=
2026-08-21,education,정책브리핑 검색('교육'),"모두의 기본사회! 정책 아이디어 공모전 개최... ▲주거·금융, ▲ 교통·안전, ▲환경·에너지·통신, ▲ 보…",기본사회 정책 아이디어 공모전 개최,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775084&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=교육&period=
2026-08-21,education,정책브리핑 검색('교육'),새만금 개발전략 수정... 속도·실행력 높이고 지역동반성장에 초점... 광역인프라 구축 방향도 제시되었다.…,"새만금 개발전략 수정, 지역동반성장 초점",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775077&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=교육&period=
2026-08-21,education,정책브리핑 검색('교육'),조달청 시설공사 주간('26.8.24.~'26.8.28.)입찰 동향... 조달청은 다음 주('26.8.24.…,조달청 시설공사 주간 입찰 동향 발표,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775070&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=교육&period=
2026-08-21,education,정책브리핑 검색('교사'),"기술유출 브로커부터 해킹까지 지능화된 영업비밀 침해, 이제는 원천차단... 영업비밀 유출에 적극적으로 개입하…",지능화된 영업비밀 침해 원천차단 추진,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775086&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=교사&period=
2026-08-21,policy,정책브리핑 검색('AI교육'),새만금 개발전략 수정... 속도·실행력 높이고 지역동반성장에 초점... 산업용지 37.5㎢ 공급  - 현대차…,"새만금 개발전략 수정, 산업용지 공급 계획",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775077&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=AI교육&period=
2026-08-21,policy,정책브리핑 검색('디지털'),대전·청주지역 지식서비스업체 대상 포괄임금 오남용 5차 릴레이 감독 실시... 포괄임금 오남용 다발 의심 지…,대전·청주 포괄임금 오남용 릴레이 감독,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775082&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=디지털&period=
2026-08-21,policy,정책브리핑 검색('디지털'),기록유산의 가치 이을 세계 청년들의 특별한 만남... 확장되는 기록의 역사와 삶의 흔적을 다채롭게 경험하는…,세계 청년들과 기록유산 가치 공유 행사,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775073&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=디지털&period=
2026-08-21,science,정책브리핑 검색('AI'),"모든 일하는 사람을 위한 공적 안전망 구축, 담대한 첫걸음을 내딛다.... K-노동복지회의소(이하 노동복지회…",모든 노동자 대상 공적 안전망 구축 추진,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775099&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=AI&period=
2026-08-21,science,정책브리핑 검색('AI'),새만금 개발전략 수정... 속도·실행력 높이고 지역동반성장에 초점...행력 높이고 지역동반성장에 초점  -…,"새만금 개발전략 수정, 속도·실행력 강화",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775077&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=AI&period=
2026-08-21,science,정책브리핑 검색('AI'),창덕궁에 이어 덕수궁·서오릉에서 인공지능 순찰로봇 현장 실증 나선다국가유산청 궁능유적본부(본부장 조규형)는…,덕수궁·서오릉에 AI 순찰로봇 현장 실증,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775075&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=AI&period=
2026-08-21,science,정책브리핑 검색('AI'),"공공조달AI대전환 속도 낸다… 조달청,'인공지능조달혁신과'출범공공조달AI대전환 속도 낸다… 조달청,'인공지능…","조달청, 인공지능조달혁신과 출범",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775071&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=AI&period=
2026-08-21,science,정책브리핑 검색('연구'),"모든 일하는 사람을 위한 공적 안전망 구축, 담대한 첫걸음을 내딛다.... 할 쟁점도 많고 이견도 많을 것""…",일하는 모든 사람 공적 안전망 구축 논의,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775099&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=연구&period=
2026-08-21,science,정책브리핑 검색('연구'),대전·청주지역 지식서비스업체 대상 포괄임금 오남용 5차 릴레이 감독 실시...·야간근로수당을 미지급한 사업장…,대전·청주 지식서비스업 포괄임금 감독,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775082&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=연구&period=
2026-08-21,science,정책브리핑 검색('연구'),새만금 개발전략 수정... 속도·실행력 높이고 지역동반성장에 초점... 전체 매립 면적은 181.8㎢다.…,새만금 전체 매립 면적 181.8㎢ 개발 추진,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775077&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=연구&period=
2026-08-21,science,정책브리핑 검색('연구'),세계 최초로 '제브라피쉬 배아' 활용한 동물대체시험법 국제검증 돌입... 제브라피쉬*의 배아를 활용한 신경발…,제브라피쉬 배아 활용 동물대체시험법 국제검증,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775060&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=연구&period=
2026-08-21,science,정책브리핑 검색('지능형'),"공공조달 AI 대전환 속도 낸다… 조달청,'인공지능조달혁신과'출범... 제공할 수 있다.  조달청은 올해 초…","조달청 AI 전환 가속, 혁신과 출범",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156775071&pageIndex=1&repCodeType=&repCode=&startDate=2025-08-21&endDate=2026-08-21&srchWord=지능형&period=
2026-08-24,policy,한국교육신문(정책) - 헤드라인,2027학년도 학자금 지원 제한 대학 20곳 발표교육부가 2027학년도 학자금(국가장학금·학자금대출) 지원…,"교육부, 2027학년도 학자금 지원 제한 대학 20곳 공개",https://www.hangyo.com/news/article.html?no=108953
2026-08-24,policy,한국교육신문(정책) - 헤드라인,대전시교육청 ‘교육활동 침해 전담조사관’ 시범운영대전시교육청은 9월부터 6개월간 ‘교육활동 침해 전담조사관’…,"대전교육청, 교육활동 침해 전담조사관 시범운영 시작",https://www.hangyo.com/news/article.html?no=108950
2026-08-28,education,한국교육과정평가원(KICE) 보도자료,"한국교육과정평가원, 학교 교육과정 설계·편성  업무 지원 ‘AI 에이전트’ 성과보고회 개최","KICE, 교육과정 설계 지원 AI 에이전트 성과보고회 개최",https://www.kice.re.kr#contents
2026-08-28,policy,국가교육위원회 보도자료,"[보도자료] 미래 대입제도 방향과 쟁점, 1박 2일 숙의토론 진행",대입제도 미래 방향 숙의토론 1박2일 진행,https://www.ne.go.kr/BD_selectBbs.do?q_bbsSn=1004&q_bbsDocNo=20260828115821831
2026-08-28,education,전교조 보도자료,[성명서] 교육부 ‘혐오·차별 표현 대응 가이드북’의 ‘성소수자’ 제외 관련,교육부 가이드북 성소수자 제외에 전교조 반발,https://www.eduhope.net:443/bbs/board.php?bo_table=maybbs_eduhope_4&wr_id=245486&menu_id=2010
